player_id,position,age,games_played,minutes_per_game,points_per_game,assists_per_game,rebounds_per_game
PL016001,guard,26,74,28.5,16.3,1.7,5.0
PL016002,forward,34,61,34.1,20.2,6.4,4.2
PL016003,forward,34,73,32.4,12.6,5.9,7.0
PL016004,guard,34,60,24.2,13.7,2.2,11.5
PL016005,center,28,71,25.3,14.8,3.2,3.4
PL016006,forward,30,77,29.5,12.2,7.2,8.4
PL016007,guard,30,74,30.9,21.3,3.1,3.0
PL016008,forward,23,76,29.0,20.5,1.8,11.8
PL016009,guard,28,75,30.1,25.3,4.9,6.5
PL016010,forward,20,78,28.6,16.1,6.1,6.2
PL016011,guard,25,65,32.8,19.9,6.3,9.6
PL016012,forward,22,59,28.2,15.6,5.4,10.5
PL016013,center,27,73,31.6,22.7,1.6,10.0
PL016014,forward,20,67,26.4,22.4,7.0,5.8
PL016015,forward,28,70,35.9,18.6,2.9,9.8
