store_id,region,monthly_sales_k,transactions,avg_basket_size,staff_count,customer_satisfaction
B002001,west,173.7,2374,50.4,17,3.7
B002002,north,138.5,1921,59.8,10,3.7
B002003,north,97.9,1514,65.2,12,4.2
B002004,east,147.6,1888,58.8,25,3.9
B002005,west,163.2,1839,49.9,23,4.0
B002006,west,124.8,1560,61.5,13,3.7
B002007,east,162.5,1673,53.0,16,4.2
B002008,south,119.7,2020,57.3,12,4.1
B002009,north,77.7,2557,64.7,12,4.7
B002010,south,90.8,2444,57.6,22,4.7
B002011,south,114.8,2249,53.3,24,3.9
B002012,west,89.5,2057,52.4,11,4.3
B002013,north,156.5,1567,49.0,25,4.2
B002014,south,78.4,2490,49.6,15,3.7
B002015,north,148.3,1931,56.1,17,4.3
