farm_id,crop_type,acreage,yield_tons,irrigation_hours_week,fertilizer_kg,soil_quality_index,organic
F028001,rice,123,401.2,14.6,645,68.7,yes
F028002,corn,107,252.2,12.1,707,70.0,no
F028003,rice,140,357.4,16.1,697,79.1,no
F028004,wheat,126,365.2,20.9,612,78.5,yes
F028005,soybean,74,343.9,13.5,978,68.8,yes
F028006,corn,96,423.4,16.3,739,80.4,no
F028007,corn,148,275.6,11.9,665,79.6,no
F028008,soybean,146,363.5,13.2,920,71.9,no
F028009,wheat,87,456.8,18.5,1030,68.4,no
F028010,corn,86,299.9,17.7,984,71.2,no
F028011,rice,88,372.0,12.6,772,73.1,yes
F028012,wheat,121,358.4,12.7,1039,80.7,no
F028013,rice,111,373.0,19.5,993,78.5,no
F028014,soybean,78,420.0,14.1,779,79.9,no
F028015,soybean,111,427.2,13.4,855,69.5,no
