route_id,vehicle_type,distance_km,avg_speed_kph,fuel_used_l,delay_minutes,weather
R001,truck,184.5,62.4,39.1,12,clear
R002,van,96.2,54.8,11.5,8,rain
R003,bus,141.7,48.3,28.6,19,cloudy
R004,truck,220.9,60.1,47.8,25,windy
R005,van,88.4,57.2,10.1,6,clear
R006,bus,132.6,46.9,26.9,17,rain
R007,truck,205.3,63.5,43.2,14,clear
R008,van,74.1,52.0,8.4,9,cloudy
R009,bus,156.8,49.7,31.4,21,windy
R010,truck,193.6,61.8,40.7,11,clear
R011,van,102.5,55.9,12.0,7,rain
R012,bus,147.2,47.5,29.8,18,cloudy
R013,truck,231.4,59.6,49.5,27,windy
R014,van,81.3,53.4,9.1,5,clear
R015,bus,138.9,48.8,27.7,16,rain
