household_id,region,household_size,monthly_income_k,rent_k,utility_cost,vehicle_count,internet_type
H034001,suburban,3,4.0,1.0,220.5,3,dsl
H034002,urban,6,11.2,2.2,217.6,2,cable
H034003,rural,5,9.9,1.5,189.2,2,cable
H034004,urban,6,2.8,2.2,165.6,0,cable
H034005,rural,3,10.8,2.8,114.3,0,satellite
H034006,urban,3,9.3,1.2,225.4,1,fiber
H034007,rural,6,8.4,2.7,147.2,2,cable
H034008,urban,6,3.4,1.3,97.8,0,fiber
H034009,suburban,4,9.2,2.8,211.1,3,satellite
H034010,suburban,5,6.1,2.5,197.2,1,cable
H034011,suburban,1,9.8,0.8,84.9,2,fiber
H034012,urban,3,4.3,1.5,188.9,0,dsl
H034013,rural,5,10.6,2.2,145.0,1,satellite
H034014,urban,1,3.7,1.2,109.7,2,dsl
H034015,suburban,2,3.6,1.6,162.3,3,cable
