hotel_id,city,occupancy_rate,avg_nightly_rate,bookings_month,cancellation_rate,staff_count,star_level
HT045001,austin,65.0,183.9,672,13.3,38,5
HT045002,boston,84.9,138.8,898,12.3,34,5
HT045003,atlanta,73.1,184.4,659,11.9,34,3
HT045004,chicago,74.1,203.6,796,11.7,37,5
HT045005,austin,76.5,124.3,704,9.7,38,5
HT045006,boston,69.3,129.9,805,12.5,25,5
HT045007,phoenix,74.4,146.6,678,11.6,37,4
HT045008,phoenix,78.8,183.7,830,8.2,23,3
HT045009,dallas,78.8,123.8,882,8.3,40,3
HT045010,austin,68.2,215.9,884,15.2,41,5
HT045011,austin,86.0,193.2,765,15.1,28,4
HT045012,dallas,88.8,209.5,707,9.6,35,5
HT045013,seattle,83.9,204.0,713,12.7,38,4
HT045014,seattle,82.1,148.1,852,12.5,24,3
HT045015,atlanta,73.6,120.7,723,11.9,38,5
