sensor_id,zone,avg_temp_c,avg_humidity,pm25,noise_db,foot_traffic,power_use_kwh
SN057001,downtown,25.5,53.8,20.6,70.8,431,318.7
SN057002,park,22.4,60.2,21.1,54.8,582,316.4
SN057003,downtown,22.5,59.4,25.2,60.1,845,128.6
SN057004,industrial,20.9,55.6,11.6,41.2,1031,224.6
SN057005,downtown,20.9,56.9,12.6,64.2,783,440.5
SN057006,residential,28.0,50.8,16.0,53.3,1196,390.9
SN057007,park,27.2,50.2,20.9,44.4,982,223.9
SN057008,park,24.7,62.2,24.9,43.9,599,276.4
SN057009,residential,23.9,65.1,14.9,60.7,1144,427.2
SN057010,park,24.7,61.0,21.5,46.5,896,352.9
SN057011,industrial,20.5,49.5,25.3,44.2,844,383.9
SN057012,park,23.8,55.3,23.5,63.0,443,329.8
SN057013,residential,22.5,50.3,16.1,59.8,432,150.7
SN057014,residential,23.2,62.8,25.1,41.0,779,178.0
SN057015,residential,27.9,58.1,21.0,41.3,698,275.7
