"City","Population","Median Income","Unemployment Rate","Education Level","Job Type","Commute Time","Region"
"New York",8405837,62500,4.2,"Bachelor's degree",Management,45,"Northeast"
"Los Angeles",3990456,55000,4.5,"Some college",Sales,30,"West"
"Chicago",2695598,50000,5.1,"High school",Service,35,"Midwest"
"Houston",2320268,45000,4.8,"Some college",Management,40,"South"
"Phoenix",1732125,42500,4.9,"High school",Sales,30,"West"
"Philadelphia",1567878,47500,5.3,"Bachelor's degree",Service,40,"Northeast"
"San Antonio",1516739,37500,4.6,"Some college",Management,35,"South"
"San Diego",1425697,52500,4.1,"Bachelor's degree",Sales,30,"West"
"Dallas",1346272,50000,4.7,"Some college",Service,35,"South"
"San Jose",1034802,75000,3.9,"Bachelor's degree",Management,45,"West"
"Austin",967000,52500,3.5,"Bachelor's degree",Sales,30,"South"
"Jacksonville",944477,42500,4.9,"High school",Service,35,"South"
"San Francisco",884271,82500,3.7,"Bachelor's degree",Management,45,"West"
"Columbus",892800,45000,4.4,"Some college",Sales,30,"Midwest"
"Fort Worth",925221,47500,4.6,"Some college",Service,35,"South"
